,mM,,uM
1064.97,4208,1065,1100
1065.67,4211,1065.7,1098
1066.37,4165,1066.4,1109
1067.07,4141,1067.1,1104
1067.77,4167,1067.8,1101
1068.47,4169,1068.5,1101
1069.17,4154,1069.2,1093
1069.87,4162,1069.9,1092
1070.57,4183,1070.59,1090
1071.27,4146,1071.29,1098
1071.97,4154,1071.99,1091
1072.66,4170,1072.69,1087
1073.36,4134,1073.39,1086
1074.06,4142,1074.09,1084
1074.76,4148,1074.78,1087
1075.46,4152,1075.48,1093
1076.16,4164,1076.18,1096
1076.85,4172,1076.88,1091
1077.55,4114,1077.57,1091
1078.25,4164,1078.27,1100
1078.95,4150,1078.97,1088
1079.64,4149,1079.66,1095
1080.34,4123,1080.36,1098
1081.04,4142,1081.06,1107
1081.73,4101,1081.75,1100
1082.43,4157,1082.45,1081
1083.13,4157,1083.15,1091
1083.82,4147,1083.84,1090
1084.52,4127,1084.54,1088
1085.22,4165,1085.23,1095
1085.91,4140,1085.93,1082
1086.61,4137,1086.63,1089
1087.3,4155,1087.32,1089
1088,4139,1088.02,1091
1088.69,4128,1088.71,1083
1089.39,4157,1089.41,1099
1090.09,4152,1090.1,1091
1090.78,4157,1090.8,1105
1091.47,4136,1091.49,1098
1092.17,4152,1092.18,1103
1092.86,4117,1092.88,1089
1093.56,4099,1093.57,1089
1094.25,4116,1094.27,1086
1094.95,4078,1094.96,1085
1095.64,4112,1095.65,1086
1096.33,4123,1096.35,1092
1097.03,4120,1097.04,1089
1097.72,4143,1097.73,1086
1098.41,4134,1098.43,1084
1099.11,4149,1099.12,1082
1099.8,4145,1099.81,1091
1100.49,4117,1100.5,1085
1101.19,4156,1101.2,1089
1101.88,4155,1101.89,1094
1102.57,4142,1102.58,1096
1103.26,4178,1103.27,1089
1103.96,4150,1103.96,1085
1104.65,4129,1104.66,1087
1105.34,4159,1105.35,1079
1106.03,4159,1106.04,1090
1106.72,4123,1106.73,1081
1107.42,4127,1107.42,1092
1108.11,4145,1108.11,1090
1108.8,4160,1108.8,1086
1109.49,4173,1109.49,1087
1110.18,4147,1110.18,1086
1110.87,4138,1110.88,1097
1111.56,4134,1111.57,1086
1112.25,4112,1112.26,1098
1112.94,4155,1112.95,1097
1113.63,4157,1113.64,1093
1114.32,4138,1114.33,1103
1115.01,4152,1115.01,1091
1115.7,4162,1115.7,1094
1116.39,4124,1116.39,1091
1117.08,4140,1117.08,1086
1117.77,4151,1117.77,1087
1118.46,4190,1118.46,1088
1119.15,4168,1119.15,1095
1119.84,4195,1119.84,1082
1120.53,4187,1120.53,1088
1121.22,4143,1121.21,1100
1121.9,4169,1121.9,1098
1122.59,4160,1122.59,1091
1123.28,4182,1123.28,1091
1123.97,4191,1123.97,1090
1124.66,4165,1124.65,1096
1125.34,4180,1125.34,1083
1126.03,4151,1126.03,1090
1126.72,4127,1126.72,1096
1127.41,4163,1127.4,1090
1128.09,4103,1128.09,1087
1128.78,4116,1128.78,1086
1129.47,4131,1129.46,1097
1130.15,4124,1130.15,1091
1130.84,4112,1130.84,1084
1131.53,4117,1131.52,1089
1132.21,4128,1132.21,1086
1132.9,4095,1132.89,1091
1133.59,4103,1133.58,1087
1134.27,4123,1134.26,1086
1134.96,4106,1134.95,1084
1135.64,4116,1135.64,1093
1136.33,4140,1136.32,1092
1137.01,4121,1137.01,1093
1137.7,4135,1137.69,1092
1138.38,4100,1138.38,1091
1139.07,4120,1139.06,1092
1139.75,4146,1139.74,1084
1140.44,4088,1140.43,1079
1141.12,4109,1141.11,1083
1141.81,4137,1141.8,1085
1142.49,4095,1142.48,1085
1143.18,4127,1143.16,1093
1143.86,4120,1143.85,1100
1144.54,4111,1144.53,1095
1145.23,4125,1145.21,1089
1145.91,4141,1145.9,1081
1146.59,4139,1146.58,1099
1147.28,4131,1147.26,1087
1147.96,4156,1147.95,1088
1148.64,4142,1148.63,1088
1149.33,4134,1149.31,1089
1150.01,4145,1149.99,1085
1150.69,4142,1150.68,1102
1151.37,4121,1151.36,1103
1152.06,4150,1152.04,1095
1152.74,4207,1152.72,1096
1153.42,4152,1153.4,1091
1154.1,4152,1154.08,1095
1154.78,4160,1154.77,1103
1155.46,4193,1155.45,1094
1156.15,4146,1156.13,1090
1156.83,4151,1156.81,1092
1157.51,4149,1157.49,1101
1158.19,4186,1158.17,1097
1158.87,4160,1158.85,1103
1159.55,4136,1159.53,1089
1160.23,4193,1160.21,1102
1160.91,4177,1160.89,1098
1161.59,4230,1161.57,1104
1162.27,4201,1162.25,1105
1162.95,4214,1162.93,1090
1163.63,4182,1163.61,1106
1164.31,4182,1164.29,1104
1164.99,4175,1164.97,1111
1165.67,4201,1165.65,1110
1166.35,4232,1166.33,1110
1167.03,4224,1167,1101
1167.71,4249,1167.68,1113
1168.39,4225,1168.36,1113
1169.06,4213,1169.04,1114
1169.74,4220,1169.72,1112
1170.42,4211,1170.4,1106
1171.1,4243,1171.07,1109
1171.78,4239,1171.75,1117
1172.46,4237,1172.43,1115
1173.13,4249,1173.11,1110
1173.81,4226,1173.78,1100
1174.49,4259,1174.46,1104
1175.17,4277,1175.14,1104
1175.84,4274,1175.82,1103
1176.52,4246,1176.49,1110
1177.2,4220,1177.17,1096
1177.87,4204,1177.85,1093
1178.55,4233,1178.52,1109
1179.23,4233,1179.2,1100
1179.9,4249,1179.87,1093
1180.58,4281,1180.55,1099
1181.26,4248,1181.23,1104
1181.93,4240,1181.9,1095
1182.61,4245,1182.58,1103
1183.28,4239,1183.25,1087
1183.96,4215,1183.93,1097
1184.64,4222,1184.6,1095
1185.31,4198,1185.28,1101
1185.99,4250,1185.95,1093
1186.66,4267,1186.63,1099
1187.34,4241,1187.3,1108
1188.01,4281,1187.98,1100
1188.68,4243,1188.65,1098
1189.36,4238,1189.32,1097
1190.03,4271,1190,1097
1190.71,4224,1190.67,1095
1191.38,4237,1191.35,1105
1192.06,4224,1192.02,1096
1192.73,4262,1192.69,1098
1193.4,4298,1193.37,1101
1194.08,4303,1194.04,1093
1194.75,4263,1194.71,1109
1195.42,4270,1195.38,1098
1196.1,4277,1196.06,1110
1196.77,4307,1196.73,1103
1197.44,4320,1197.4,1098
1198.11,4338,1198.07,1102
1198.79,4357,1198.75,1100
1199.46,4324,1199.42,1102
1200.13,4338,1200.09,1106
1200.8,4338,1200.76,1111
1201.47,4367,1201.43,1097
1202.15,4334,1202.11,1099
1202.82,4319,1202.78,1101
1203.49,4330,1203.45,1103
1204.16,4361,1204.12,1094
1204.83,4340,1204.79,1105
1205.5,4293,1205.46,1093
1206.17,4263,1206.13,1101
1206.84,4276,1206.8,1094
1207.52,4289,1207.47,1099
1208.19,4270,1208.14,1095
1208.86,4332,1208.81,1099
1209.53,4283,1209.48,1101
1210.2,4241,1210.15,1096
1210.87,4284,1210.82,1100
1211.54,4222,1211.49,1097
1212.21,4226,1212.16,1087
1212.88,4270,1212.83,1083
1213.54,4236,1213.5,1097
1214.21,4231,1214.17,1098
1214.88,4239,1214.84,1087
1215.55,4222,1215.5,1090
1216.22,4232,1216.17,1093
1216.89,4247,1216.84,1086
1217.56,4193,1217.51,1094
1218.23,4204,1218.18,1090
1218.89,4231,1218.85,1090
1219.56,4206,1219.51,1095
1220.23,4219,1220.18,1105
1220.9,4227,1220.85,1109
1221.57,4225,1221.52,1101
1222.23,4217,1222.18,1089
1222.9,4244,1222.85,1093
1223.57,4214,1223.52,1087
1224.24,4219,1224.18,1091
1224.9,4203,1224.85,1098
1225.57,4231,1225.52,1098
1226.24,4223,1226.18,1079
1226.9,4233,1226.85,1090
1227.57,4224,1227.52,1098
1228.24,4215,1228.18,1084
1228.9,4252,1228.85,1084
1229.57,4259,1229.51,1102
1230.23,4234,1230.18,1092
1230.9,4237,1230.84,1079
1231.56,4189,1231.51,1091
1232.23,4189,1232.18,1088
1232.9,4205,1232.84,1088
1233.56,4216,1233.5,1093
1234.23,4195,1234.17,1085
1234.89,4209,1234.83,1093
1235.56,4205,1235.5,1084
1236.22,4198,1236.16,1089
1236.88,4231,1236.83,1088
1237.55,4240,1237.49,1093
1238.21,4205,1238.16,1091
1238.88,4229,1238.82,1088
1239.54,4206,1239.48,1088
1240.2,4231,1240.15,1081
1240.87,4196,1240.81,1081
1241.53,4190,1241.47,1089
1242.2,4190,1242.14,1088
1242.86,4225,1242.8,1086
1243.52,4262,1243.46,1096
1244.18,4252,1244.12,1087
1244.85,4246,1244.79,1078
1245.51,4264,1245.45,1090
1246.17,4242,1246.11,1091
1246.84,4209,1246.77,1100
1247.5,4263,1247.43,1092
1248.16,4231,1248.1,1089
1248.82,4216,1248.76,1092
1249.48,4215,1249.42,1088
1250.15,4225,1250.08,1093
1250.81,4237,1250.74,1091
1251.47,4220,1251.4,1093
1252.13,4222,1252.06,1090
1252.79,4211,1252.73,1092
1253.45,4266,1253.39,1100
1254.11,4253,1254.05,1102
1254.77,4249,1254.71,1087
1255.43,4232,1255.37,1098
1256.09,4225,1256.03,1082
1256.75,4241,1256.69,1093
1257.41,4273,1257.35,1093
1258.07,4257,1258.01,1095
1258.73,4242,1258.67,1095
1259.39,4301,1259.33,1102
1260.05,4260,1259.99,1099
1260.71,4257,1260.64,1089
1261.37,4283,1261.3,1086
1262.03,4241,1261.96,1088
1262.69,4244,1262.62,1096
1263.35,4261,1263.28,1090
1264.01,4220,1263.94,1089
1264.67,4209,1264.6,1083
1265.33,4270,1265.25,1096
1265.98,4267,1265.91,1096
1266.64,4252,1266.57,1091
1267.3,4290,1267.23,1096
1267.96,4255,1267.89,1086
1268.62,4253,1268.54,1092
1269.27,4258,1269.2,1091
1269.93,4280,1269.86,1088
1270.59,4278,1270.52,1089
1271.25,4245,1271.17,1093
1271.9,4269,1271.83,1099
1272.56,4258,1272.49,1096
1273.22,4244,1273.14,1086
1273.87,4225,1273.8,1090
1274.53,4199,1274.46,1077
1275.19,4224,1275.11,1079
1275.84,4215,1275.77,1082
1276.5,4222,1276.42,1079
1277.16,4253,1277.08,1080
1277.81,4197,1277.73,1082
1278.47,4180,1278.39,1082
1279.12,4217,1279.05,1081
1279.78,4233,1279.7,1089
1280.43,4259,1280.36,1085
1281.09,4263,1281.01,1092
1281.74,4221,1281.66,1085
