File Version;BWSpec4.02_14
Date;2020-06-04 11:45:00
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;1
yaxis_min;-128
yaxis_max;60000
xaxis;1
xaxis_min;204
xaxis_max;2047
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;10
overlay_js;0
Relative Intensity Correction Flag;0
64;   ;   ;   ;921,0000;65535,0000;785,0000;-136,0000;0,0000;0,0000;0,0000;
65;   ;   ;   ;809,0000;65535,0000;928,0000;119,0000;0,0000;0,0000;0,0000;
66;   ;   ;   ;784,0000;65535,0000;801,0000;17,0000;0,0000;0,0000;0,0000;
67;   ;   ;   ;767,0000;65535,0000;889,0000;122,0000;0,0000;0,0000;0,0000;
68;   ;   ;   ;791,0000;65535,0000;880,0000;89,0000;0,0000;0,0000;0,0000;
69;   ;   ;   ;854,0000;65535,0000;867,0000;13,0000;0,0000;0,0000;0,0000;
70;   ;   ;   ;879,0000;65535,0000;869,0000;-10,0000;0,0000;0,0000;0,0000;
71;   ;   ;   ;878,0000;65535,0000;899,0000;21,0000;0,0000;0,0000;0,0000;
72;   ;   ;   ;794,0000;65535,0000;860,0000;66,0000;0,0000;0,0000;0,0000;
73;   ;   ;   ;814,0000;65535,0000;817,0000;3,0000;0,0000;0,0000;0,0000;
74;   ;   ;   ;939,0000;65535,0000;775,0000;-164,0000;0,0000;0,0000;0,0000;
75;   ;   ;   ;858,0000;65535,0000;857,0000;-1,0000;0,0000;0,0000;0,0000;
76;   ;   ;   ;841,0000;65535,0000;873,0000;32,0000;0,0000;0,0000;0,0000;
77;   ;   ;   ;858,0000;65535,0000;886,0000;28,0000;0,0000;0,0000;0,0000;
78;   ;   ;   ;866,0000;65535,0000;896,0000;30,0000;0,0000;0,0000;0,0000;
79;   ;   ;   ;834,0000;65535,0000;918,0000;84,0000;0,0000;0,0000;0,0000;
80;   ;   ;   ;794,0000;65535,0000;862,0000;68,0000;0,0000;0,0000;0,0000;
81;   ;   ;   ;919,0000;65535,0000;771,0000;-148,0000;0,0000;0,0000;0,0000;
82;   ;   ;   ;888,0000;65535,0000;875,0000;-13,0000;0,0000;0,0000;0,0000;
83;   ;   ;   ;834,0000;65535,0000;812,0000;-22,0000;0,0000;0,0000;0,0000;
84;   ;   ;   ;836,0000;65535,0000;857,0000;21,0000;0,0000;0,0000;0,0000;
85;   ;   ;   ;875,0000;65535,0000;865,0000;-10,0000;0,0000;0,0000;0,0000;
86;   ;   ;   ;846,0000;65535,0000;888,0000;42,0000;0,0000;0,0000;0,0000;
87;   ;   ;   ;868,0000;65535,0000;819,0000;-49,0000;0,0000;0,0000;0,0000;
88;   ;   ;   ;888,0000;65535,0000;903,0000;15,0000;0,0000;0,0000;0,0000;
89;   ;   ;   ;835,0000;65535,0000;835,0000;0,0000;0,0000;0,0000;0,0000;
90;   ;   ;   ;831,0000;65535,0000;872,0000;41,0000;0,0000;0,0000;0,0000;
91;   ;   ;   ;896,0000;65535,0000;863,0000;-33,0000;0,0000;0,0000;0,0000;
92;   ;   ;   ;866,0000;65535,0000;864,0000;-2,0000;0,0000;0,0000;0,0000;
93;   ;   ;   ;883,0000;65535,0000;873,0000;-10,0000;0,0000;0,0000;0,0000;
94;   ;   ;   ;856,0000;65535,0000;821,0000;-35,0000;0,0000;0,0000;0,0000;
95;   ;   ;   ;854,0000;65535,0000;1001,0000;147,0000;0,0000;0,0000;0,0000;
96;   ;   ;   ;818,0000;65535,0000;965,0000;147,0000;0,0000;0,0000;0,0000;
97;   ;   ;   ;826,0000;65535,0000;1081,0000;255,0000;0,0000;0,0000;0,0000;
98;   ;   ;   ;877,0000;65535,0000;1067,0000;190,0000;0,0000;0,0000;0,0000;
