File Version;BWSpec4.02_14
Date;2017-10-31 15:32:57
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;6
spectrometer_type ;14
yaxis;1
yaxis_min;0
yaxis_max;60000
xaxis;1
xaxis_min;183
xaxis_max;1973
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;20
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (lumen) #1;
93;   ;   ;   ;1004,0000;65535,0000;1102,0000;98,0000;0,0000;0,0000;0,0000;
94;   ;   ;   ;1044,0000;65535,0000;1180,0000;136,0000;0,0000;0,0000;0,0000;
95;   ;   ;   ;952,0000;65535,0000;1415,0000;463,0000;0,0000;0,0000;0,0000;
96;   ;   ;   ;1023,0000;65535,0000;2163,0000;1140,0000;0,0000;0,0000;0,0000;
97;   ;   ;   ;973,0000;65535,0000;2292,0000;1319,0000;0,0000;0,0000;0,0000;
98;   ;   ;   ;937,0000;65535,0000;2261,0000;1324,0000;0,0000;0,0000;0,0000;
99;   ;   ;   ;1015,0000;65535,0000;2346,0000;1331,0000;0,0000;0,0000;0,0000;
100;   ;   ;   ;993,0000;65535,0000;2809,0000;1816,0000;0,0000;0,0000;0,0000;
101;   ;   ;   ;1111,0000;65535,0000;2374,0000;1263,0000;0,0000;0,0000;0,0000;
102;   ;   ;   ;1003,0000;65535,0000;1636,0000;633,0000;0,0000;0,0000;0,0000;
103;   ;   ;   ;916,0000;65535,0000;1084,0000;168,0000;0,0000;0,0000;0,0000;
104;   ;   ;   ;1062,0000;65535,0000;1157,0000;95,0000;0,0000;0,0000;0,0000;
105;   ;   ;   ;1033,0000;65535,0000;1033,0000;0,0000;0,0000;0,0000;0,0000;
106;   ;   ;   ;1053,0000;65535,0000;1187,0000;134,0000;0,0000;0,0000;0,0000;
107;   ;   ;   ;933,0000;65535,0000;1110,0000;177,0000;0,0000;0,0000;0,0000;
108;   ;   ;   ;984,0000;65535,0000;1191,0000;207,0000;0,0000;0,0000;0,0000;
109;   ;   ;   ;961,0000;65535,0000;1244,0000;283,0000;0,0000;0,0000;0,0000;
110;   ;   ;   ;844,0000;65535,0000;1208,0000;364,0000;0,0000;0,0000;0,0000;
111;   ;   ;   ;979,0000;65535,0000;1134,0000;155,0000;0,0000;0,0000;0,0000;
112;   ;   ;   ;950,0000;65535,0000;1173,0000;223,0000;0,0000;0,0000;0,0000;
113;   ;   ;   ;1005,0000;65535,0000;1116,0000;111,0000;0,0000;0,0000;0,0000;
114;   ;   ;   ;1013,0000;65535,0000;1152,0000;139,0000;0,0000;0,0000;0,0000;
115;   ;   ;   ;950,0000;65535,0000;1132,0000;182,0000;0,0000;0,0000;0,0000;
116;   ;   ;   ;1004,0000;65535,0000;1168,0000;164,0000;0,0000;0,0000;0,0000;
117;   ;   ;   ;1070,0000;65535,0000;1356,0000;286,0000;0,0000;0,0000;0,0000;
118;   ;   ;   ;996,0000;65535,0000;1227,0000;231,0000;0,0000;0,0000;0,0000;
119;   ;   ;   ;991,0000;65535,0000;1180,0000;189,0000;0,0000;0,0000;0,0000;
120;   ;   ;   ;997,0000;65535,0000;1198,0000;201,0000;0,0000;0,0000;0,0000;
