ENLIGHTEN Version,2.2.7
Measurement ID,20201009-093810-270034-WP-00702
Serial Number,WP-00702
Model,WP-785-C2-LMMFC
Label,09:38:10 WP-00702
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,1000
Timestamp,2020-10-09 09:38:10.270034
Note,
Temperature,-14.52968311496079
CCD C0,790.7625122070312
CCD C1,0.28129664063453674
CCD C2,1.8011121937888674e-05
CCD C3,-2.512435592905149e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.051
Laser Enable,True
Laser Power,50.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
478,926.59,1945.81,7560.90,7560.90,,
479,926.87,1949.08,7475.30,7475.30,,
480,927.16,1952.36,7370.70,7370.70,,
481,927.44,1955.63,7256.10,7256.10,,
482,927.72,1958.89,7145.20,7145.20,,
483,928.00,1962.16,7000.30,7000.30,,
484,928.28,1965.42,6868.80,6868.80,,
485,928.56,1968.68,6737.20,6737.20,,
486,928.84,1971.94,6611.30,6611.30,,
487,929.12,1975.20,6485.30,6485.30,,
488,929.40,1978.45,6381.90,6381.90,,
489,929.69,1981.70,6274.60,6274.60,,
490,929.97,1984.95,6176.20,6176.20,,
491,930.25,1988.20,6081.70,6081.70,,
492,930.53,1991.44,5980.10,5980.10,,
493,930.81,1994.68,5894.40,5894.40,,
494,931.09,1997.92,5799.40,5799.40,,
495,931.37,2001.16,5719.30,5719.30,,
496,931.65,2004.39,5632.30,5632.30,,
497,931.93,2007.62,5540.90,5540.90,,
498,932.21,2010.85,5443.20,5443.20,,
499,932.49,2014.08,5365.30,5365.30,,
500,932.77,2017.30,5260.50,5260.50,,
501,933.05,2020.53,5170.00,5170.00,,
502,933.33,2023.75,5083.60,5083.60,,
503,933.61,2026.96,5019.00,5019.00,,
504,933.89,2030.18,4945.90,4945.90,,
505,934.17,2033.39,4887.20,4887.20,,
506,934.46,2036.60,4818.10,4818.10,,
507,934.74,2039.81,4766.10,4766.10,,
508,935.02,2043.02,4712.60,4712.60,,
509,935.30,2046.22,4650.40,4650.40,,
510,935.58,2049.42,4610.10,4610.10,,
511,935.86,2052.62,4557.50,4557.50,,
512,936.14,2055.81,4515.30,4515.30,,
513,936.42,2059.01,4473.10,4473.10,,
514,936.70,2062.20,4408.80,4408.80,,
515,936.98,2065.39,4371.60,4371.60,,
516,937.26,2068.58,4320.80,4320.80,,
517,937.54,2071.76,4283.60,4283.60,,
518,937.81,2074.94,4254.60,4254.60,,
519,938.09,2078.12,4219.20,4219.20,,
